100,2,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,18,0,0,0,0,1,0
104,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4976,2,2,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0
2994,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0
7136,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,0,1,0,0,0,1
7022,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,119,0,0,0,1,0,0
1305,2,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,3,0,0,0,1
1114,1,1,0,0,0,1,0,0,0,0,2,3,0,0,2,2,0,0,0,0,3,0,0,0,0
7722,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0
854,1,2,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0
1075,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,3,0,0,1,0
5834,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
865,2,1,0,0,0,0,0,0,0,0,2,3,0,0,3,1,0,0,0,0,1,0,0,0,0
907,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0
7664,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0
4946,3,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1
7520,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1241,5,2,0,1,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,2,0,0,0,0
2935,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,0,0
771,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,2,0,0,0,0
5036,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,0
6461,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,50,0,2,0,0,0,1
4936,5,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,1
5483,2,1,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,1
6135,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
5024,4,2,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,3,0,0,0,0
1325,4,2,0,1,0,0,0,0,0,0,0,2,1,2,0,2,2,1,0,0,0,0,0,0,0
772,5,2,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,3,0,0,0,1
188,6,1,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,3,0,0,0,0
907,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,2,0,0,0,0
771,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,2,0,0,0,0
3739,5,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0
1310,6,1,1,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,1,0,3,0,0,0,0
4476,7,2,1,0,0,0,0,0,0,0,0,1,2,0,3,2,2,0,0,0,1,0,0,0,1
4932,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,0,3,0,0,0,0
4932,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,66,0,0,0,0,0,0
